branch,status,before,after,log
"chore/mypy-strict-2026-06-08",ok,325e0bf,325e0bf,"00:43:10.781031 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:10.835606 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/mypy-strict-2026-06-08
Already up to date.
"
"chore/pin-actions",ok,325e0bf,327167f,"00:43:13.733868 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:13.768531 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/pin-actions
00:43:14.413022 run-command.c:668       trace: run_command: git stash create
00:43:14.413022 run-command.c:929       trace: start_command: git stash create
00:43:14.487029 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:14.501132 git.c:476               trace: built-in: git stash create
Auto-merging .github/workflows/fuzzing.yml
00:43:20.295220 run-command.c:668       trace: run_command: git maintenance run --auto --no-quiet --detach
Merge made by the 'ort' strategy.
00:43:20.296231 run-command.c:929       trace: start_command: git maintenance run --auto --no-quiet --detach
00:43:21.162190 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:21.232708 git.c:476               trace: built-in: git maintenance run --auto --no-quiet --detach
 .github/workflows/fuzzing.yml        | 2 +-
 .github/workflows/generate-sdks.yaml | 4 ++--
 .github/workflows/journey-gate.yml   | 2 +-
 3 files changed, 4 insertions(+), 4 deletions(-)
"
"chore/pin-github-actions-20260501",ok,327167f,3fdd60b,"00:43:23.435126 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:23.484616 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/pin-github-actions-20260501
00:43:24.268899 run-command.c:668       trace: run_command: git stash create
00:43:24.268899 run-command.c:929       trace: start_command: git stash create
00:43:24.458408 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:24.472147 git.c:476               trace: built-in: git stash create
Auto-merging .github/workflows/generate-sdks.yaml
00:43:29.934497 run-command.c:668       trace: run_command: git maintenance run --auto --no-quiet --detach
Merge made by the 'ort' strategy.
00:43:29.934497 run-command.c:929       trace: start_command: git maintenance run --auto --no-quiet --detach
00:43:29.986537 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:29.999079 git.c:476               trace: built-in: git maintenance run --auto --no-quiet --detach
 .github/workflows/generate-sdks.yaml               |   8 +-
 agentapi-plusplus/lib/httpapi/handlers.go          | 340 ++++++++++
 agentapi-plusplus/lib/httpapi/middleware.go        | 143 ++++
 agentapi-plusplus/lib/msgfmt/agent_readiness.go    |  56 ++
 agentapi-plusplus/lib/msgfmt/format_tool_call.go   | 157 +++++
 agentapi-plusplus/lib/screentracker/diff.go        |  58 ++
 .../lib/screentracker/pty_conversation.go          | 732 +++++++++++++++++++++
 chat/src/lib/index.ts                              |  28 +
 chat/src/lib/types.ts                              | 131 ++++
 lib/httpapi/chat/marker                            |   0
 10 files changed, 1649 insertions(+), 4 deletions(-)
 create mode 100644 agentapi-plusplus/lib/httpapi/handlers.go
 create mode 100644 agentapi-plusplus/lib/httpapi/middleware.go
 create mode 100644 agentapi-plusplus/lib/msgfmt/agent_readiness.go
 create mode 100644 agentapi-plusplus/lib/msgfmt/format_tool_call.go
 create mode 100644 agentapi-plusplus/lib/screentracker/diff.go
 create mode 100644 agentapi-plusplus/lib/screentracker/pty_conversation.go
 create mode 100644 chat/src/lib/index.ts
 create mode 100644 chat/src/lib/types.ts
 delete mode 100644 lib/httpapi/chat/marker
"
"chore/pyright-2026-06-08",ok,3fdd60b,3fdd60b,"00:43:30.938726 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:30.983303 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/pyright-2026-06-08
Already up to date.
"
"chore/pytest-markers-2026-06-08",ok,3fdd60b,4fdb769,"00:43:32.583244 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:32.644529 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/pytest-markers-2026-06-08
00:43:33.209710 run-command.c:668       trace: run_command: git stash create
00:43:33.210490 run-command.c:929       trace: start_command: git stash create
00:43:33.391605 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:33.435866 git.c:476               trace: built-in: git stash create
00:43:35.702741 run-command.c:668       trace: run_command: git maintenance run --auto --no-quiet --detach
Merge made by the 'ort' strategy.
00:43:35.702741 run-command.c:929       trace: start_command: git maintenance run --auto --no-quiet --detach
00:43:35.893835 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:35.959445 git.c:476               trace: built-in: git maintenance run --auto --no-quiet --detach
 .eslintrc.json                                 |   7 +
 cmd/server/server.go                           |  11 ++
 go.mod                                         |  10 ++
 go.sum                                         |  25 ++++
 internal/middleware/middleware.go              |   2 +-
 internal/observability/observability.go        | 171 +++++++++++++++++++++++++
 internal/observability/observability_test.go   |  41 ++++++
 internal/server/server.go                      |  27 ++--
 internal/server/server_test.go                 |  23 ++++
 sdk/python/Makefile                            |  27 ++++
 sdk/python/pyproject.toml                      |  63 +++++++++
 sdk/python/tests/integration/__init__.py       |   8 ++
 sdk/python/tests/integration/test_sdk_smoke.py |  48 +++++++
 13 files changed, 453 insertions(+), 10 deletions(-)
 create mode 100644 .eslintrc.json
 create mode 100644 internal/observability/observability.go
 create mode 100644 internal/observability/observability_test.go
 create mode 100644 sdk/python/Makefile
 create mode 100644 sdk/python/pyproject.toml
 create mode 100644 sdk/python/tests/integration/__init__.py
 create mode 100644 sdk/python/tests/integration/test_sdk_smoke.py
"
"chore/tsc-strict-2026-06-08",ok,4fdb769,4fdb769,"00:43:37.282017 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:37.395443 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/tsc-strict-2026-06-08
Already up to date.
"
"chore/update-lockfile-agentapi-plusplus",failed,4fdb769,4fdb769,"00:43:39.182407 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
00:43:39.199635 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/update-lockfile-agentapi-plusplus
00:43:40.391251 run-command.c:668       trace: run_command: git stash create
00:43:40.391251 run-command.c:929       trace: start_command: git stash create
00:43:41.666393 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
00:43:41.815616 git.c:476               trace: built-in: git stash create
CONFLICT (modify/delete): .github/workflows/pages-deploy.yml deleted in origin/chore/update-lockfile-agentapi-plusplus and modified in HEAD.  Version HEAD of .github/workflows/pages-deploy.yml left in tree.
Auto-merging README.md
CONFLICT (modify/delete): agentapi-plusplus/chat/package-lock.json deleted in HEAD and modified in origin/chore/update-lockfile-agentapi-plusplus.  Version origin/chore/update-lockfile-agentapi-plusplus of agentapi-plusplus/chat/package-lock.json left in tree.
CONFLICT (modify/delete): agentapi-plusplus/chat/package.json deleted in HEAD and modified in origin/chore/update-lockfile-agentapi-plusplus.  Version origin/chore/update-lockfile-agentapi-plusplus of agentapi-plusplus/chat/package.json left in tree.
CONFLICT (modify/delete): agentapi-plusplus/docs/package-lock.json deleted in HEAD and modified in origin/chore/update-lockfile-agentapi-plusplus.  Version origin/chore/update-lockfile-agentapi-plusplus of agentapi-plusplus/docs/package-lock.json left in tree.
CONFLICT (modify/delete): agentapi-plusplus/docs/package.json deleted in HEAD and modified in origin/chore/update-lockfile-agentapi-plusplus.  Version origin/chore/update-lockfile-agentapi-plusplus of agentapi-plusplus/docs/package.json left in tree.
Auto-merging docs/package-lock.json
Auto-merging docs/package.json
Automatic merge failed; fix conflicts and then commit the result."
"chore/worklog-seed-agentapi-plusplus",failed,4fdb7696324d0d5de3b096cf2aa23d50073555e0,4fdb7696324d0d5de3b096cf2aa23d50073555e0,"02:22:56.134528 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
02:22:56.491405 git.c:476               trace: built-in: git merge --no-edit --strategy-option=their origin/chore/worklog-seed-agentapi-plusplus
02:23:00.317143 run-command.c:668       trace: run_command: git stash create
02:23:00.317143 run-command.c:929       trace: start_command: git stash create
02:23:01.389626 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:23:01.716651 git.c:476               trace: built-in: git stash create
02:23:08.705808 run-command.c:668       trace: run_command: GIT_INDEX_FILE=.git/index.stash.144928 git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:23:08.705808 run-command.c:929       trace: start_command: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:23:10.575996 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:23:10.590002 git.c:476               trace: built-in: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
fatal: unknown strategy option: -Xtheir"
"chore/worklog-seed-agentapi-plusplus",ok,4fdb7696324d0d5de3b096cf2aa23d50073555e0,f30ec595729660d7d44c6b2893b5f478646b9340,"02:26:33.607326 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
02:26:33.857273 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/worklog-seed-agentapi-plusplus
02:26:37.245547 run-command.c:668       trace: run_command: git stash create
02:26:37.245547 run-command.c:929       trace: start_command: git stash create
02:26:47.121179 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:26:48.396904 git.c:476               trace: built-in: git stash create
02:26:59.617936 run-command.c:668       trace: run_command: GIT_INDEX_FILE=.git/index.stash.14768 git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:26:59.617936 run-command.c:929       trace: start_command: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:27:02.238079 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:27:02.268117 git.c:476               trace: built-in: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
Merge made by the 'ort' strategy.
02:27:08.415123 run-command.c:668       trace: run_command: git maintenance run --auto --no-quiet --detach
02:27:08.418121 run-command.c:929       trace: start_command: git maintenance run --auto --no-quiet --detach
02:27:10.129876 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:27:11.754330 git.c:476               trace: built-in: git maintenance run --auto --no-quiet --detach
 worklogs/2026-06-05-fleet-readiness.md | 12 ++++++++++++
 1 file changed, 12 insertions(+)
 create mode 100644 worklogs/2026-06-05-fleet-readiness.md"
"chore/workflow-hygiene-ubuntu-24",failed,f30ec595729660d7d44c6b2893b5f478646b9340,f30ec595729660d7d44c6b2893b5f478646b9340,"02:30:05.014152 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
02:30:05.026522 git.c:476               trace: built-in: git merge --no-edit --strategy-option=theirs origin/chore/workflow-hygiene-ubuntu-24
02:30:21.532034 run-command.c:668       trace: run_command: git stash create
02:30:21.532034 run-command.c:929       trace: start_command: git stash create
02:30:22.237146 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:30:22.299991 git.c:476               trace: built-in: git stash create
02:30:27.137676 run-command.c:668       trace: run_command: GIT_INDEX_FILE=.git/index.stash.153504 git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:30:27.137676 run-command.c:929       trace: start_command: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
02:30:28.540881 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
02:30:28.782200 git.c:476               trace: built-in: git update-index --ignore-skip-worktree-entries -z --add --remove --stdin
Auto-merging .github/workflows/alert-sync-issues.yml
Auto-merging .github/workflows/ci.yml
Auto-merging .github/workflows/docs-site.yml
Auto-merging .github/workflows/fuzzing.yml
Auto-merging .github/workflows/generate-sdks.yaml
Auto-merging .github/workflows/go-test.yml
Auto-merging .github/workflows/journey-gate.yml
Auto-merging .github/workflows/lint-test.yml
Auto-merging .github/workflows/policy-gate.yml
Auto-merging .github/workflows/pr-preview-build.yml
Auto-merging .github/workflows/pr-preview-cleanup.yml
Auto-merging .github/workflows/release.yml
Auto-merging .github/workflows/security-guard.yml
Auto-merging .github/workflows/self-merge-gate.yml
Auto-merging .github/workflows/trufflehog.yml
Auto-merging README.md
CONFLICT (modify/delete): agentapi-plusplus/e2e/asciinema/parser.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/e2e/asciinema/parser.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/internal/routing/agent_bifrost.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/internal/routing/agent_bifrost.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/internal/routing/agent_bifrost_test.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/internal/routing/agent_bifrost_test.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/internal/server/agent_handler.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/internal/server/agent_handler.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/internal/server/server.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/internal/server/server.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/internal/server/server_test.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/internal/server/server_test.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/lib/msgfmt/firstline_test.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/lib/msgfmt/firstline_test.go left in tree.
CONFLICT (modify/delete): agentapi-plusplus/main_test.go deleted in HEAD and modified in origin/chore/workflow-hygiene-ubuntu-24.  Version origin/chore/workflow-hygiene-ubuntu-24 of agentapi-plusplus/main_test.go left in tree.
Auto-merging docs/.vitepress/theme/index.ts
Automatic merge failed; fix conflicts and then commit the result."
"ci/add-golangci-lint",skipped,f30ec595729660d7d44c6b2893b5f478646b9340,f30ec595729660d7d44c6b2893b5f478646b9340,"Skipped: overlaps with workflow-hygiene/huge docs/node_modules churn"
"chore/workflow-hygiene-ubuntu-24",skipped,f30ec595729660d7d44c6b2893b5f478646b9340,f30ec595729660d7d44c6b2893b5f478646b9340,"Skipped: would reintroduce deleted agentapi-plusplus files and massive docs/node_modules churn"
